==26245== NVPROF is profiling process 26245, command: ./../bin/gpu
==26245== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==26245== Profiling application: ./../bin/gpu
==26245== Profiling result:
   Start  Duration  Name
165.92ms  3.6980us  cuDeviceGetCount
165.93ms  1.5620us  cuDeviceGetCount
165.98ms  1.9790us  cuDeviceGet
165.98ms  1.8230us  cuDeviceGetAttribute
166.00ms  1.6670us  cuDeviceGetAttribute
166.00ms  1.3540us  cuDeviceGetAttribute
166.14ms  1.7710us  cuDeviceGetCount
166.14ms  1.4590us  cuDeviceGet
166.15ms  1.9790us  cuDeviceGetName
166.15ms  8.0730us  cuDeviceTotalMem
166.16ms  1.0420us  cuDeviceGetAttribute
166.16ms     938ns  cuDeviceGetAttribute
166.16ms     938ns  cuDeviceGetAttribute
166.17ms     885ns  cuDeviceGetAttribute
166.17ms     938ns  cuDeviceGetAttribute
166.17ms  1.7710us  cuDeviceGetAttribute
166.17ms     990ns  cuDeviceGetAttribute
166.17ms     885ns  cuDeviceGetAttribute
166.18ms     989ns  cuDeviceGetAttribute
166.18ms  1.1980us  cuDeviceGetAttribute
166.18ms     885ns  cuDeviceGetAttribute
166.18ms     834ns  cuDeviceGetAttribute
166.18ms     833ns  cuDeviceGetAttribute
166.18ms     886ns  cuDeviceGetAttribute
166.19ms     886ns  cuDeviceGetAttribute
166.19ms     833ns  cuDeviceGetAttribute
166.19ms  1.1460us  cuDeviceGetAttribute
166.19ms     937ns  cuDeviceGetAttribute
166.19ms     886ns  cuDeviceGetAttribute
166.19ms  1.2500us  cuDeviceGetAttribute
166.20ms     886ns  cuDeviceGetAttribute
166.20ms     990ns  cuDeviceGetAttribute
166.20ms     885ns  cuDeviceGetAttribute
166.20ms     782ns  cuDeviceGetAttribute
166.20ms     833ns  cuDeviceGetAttribute
166.20ms     885ns  cuDeviceGetAttribute
166.21ms     833ns  cuDeviceGetAttribute
166.21ms     885ns  cuDeviceGetAttribute
166.21ms     886ns  cuDeviceGetAttribute
166.21ms     781ns  cuDeviceGetAttribute
166.21ms     989ns  cuDeviceGetAttribute
