==24806== NVPROF is profiling process 24806, command: ./../bin/gpu
==24806== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==24806== Profiling application: ./../bin/gpu
==24806== Profiling result:
   Start  Duration  Name
158.92ms  3.3330us  cuDeviceGetCount
158.92ms  1.3540us  cuDeviceGetCount
158.98ms  1.9790us  cuDeviceGet
158.98ms  1.5630us  cuDeviceGetAttribute
159.00ms  1.3540us  cuDeviceGetAttribute
159.00ms  1.3540us  cuDeviceGetAttribute
159.16ms  2.0830us  cuDeviceGetCount
159.16ms  1.3540us  cuDeviceGet
159.16ms  2.2920us  cuDeviceGetName
159.17ms  11.199us  cuDeviceTotalMem
159.18ms  1.4580us  cuDeviceGetAttribute
159.18ms     989ns  cuDeviceGetAttribute
159.18ms  1.0930us  cuDeviceGetAttribute
159.19ms     938ns  cuDeviceGetAttribute
159.19ms  1.3020us  cuDeviceGetAttribute
159.19ms  1.7710us  cuDeviceGetAttribute
159.19ms  1.1460us  cuDeviceGetAttribute
159.20ms  1.0940us  cuDeviceGetAttribute
159.20ms  1.1980us  cuDeviceGetAttribute
159.20ms  1.0410us  cuDeviceGetAttribute
159.20ms  1.0940us  cuDeviceGetAttribute
159.20ms  1.1980us  cuDeviceGetAttribute
159.21ms  1.0940us  cuDeviceGetAttribute
159.21ms  1.1460us  cuDeviceGetAttribute
159.21ms  1.1460us  cuDeviceGetAttribute
159.21ms  1.0410us  cuDeviceGetAttribute
159.21ms  1.0940us  cuDeviceGetAttribute
159.22ms     938ns  cuDeviceGetAttribute
159.22ms  1.5110us  cuDeviceGetAttribute
159.22ms  1.1980us  cuDeviceGetAttribute
159.22ms     989ns  cuDeviceGetAttribute
159.22ms  1.1980us  cuDeviceGetAttribute
159.23ms  1.0940us  cuDeviceGetAttribute
159.23ms     990ns  cuDeviceGetAttribute
159.23ms  1.0940us  cuDeviceGetAttribute
159.23ms     989ns  cuDeviceGetAttribute
