==10103== NVPROF is profiling process 10103, command: ../bin/gpu
==10103== Warning: Unified Memory Profiling is not supported on the underlying platform. System requirements for unified memory can be found at: http://docs.nvidia.com/cuda/cuda-c-programming-guide/index.html#um-requirements
==10103== Profiling application: ../bin/gpu
==10103== Profiling result:
   Start  Duration  Name
158.54ms  3.1250us  cuDeviceGetCount
158.54ms  1.5620us  cuDeviceGetCount
158.59ms  2.0830us  cuDeviceGet
158.59ms  1.7710us  cuDeviceGetAttribute
158.61ms  1.9790us  cuDeviceGetAttribute
158.61ms  1.5110us  cuDeviceGetAttribute
158.74ms  2.1870us  cuDeviceGetCount
158.75ms  1.4060us  cuDeviceGet
158.75ms  2.1880us  cuDeviceGetName
158.75ms  8.7510us  cuDeviceTotalMem
158.76ms  1.5110us  cuDeviceGetAttribute
158.77ms  1.0420us  cuDeviceGetAttribute
158.77ms  1.1980us  cuDeviceGetAttribute
158.77ms     885ns  cuDeviceGetAttribute
158.77ms     990ns  cuDeviceGetAttribute
158.77ms  1.7710us  cuDeviceGetAttribute
158.78ms     989ns  cuDeviceGetAttribute
158.78ms     833ns  cuDeviceGetAttribute
158.78ms  1.1460us  cuDeviceGetAttribute
158.78ms     885ns  cuDeviceGetAttribute
158.78ms     990ns  cuDeviceGetAttribute
158.79ms     886ns  cuDeviceGetAttribute
158.79ms     938ns  cuDeviceGetAttribute
158.79ms     833ns  cuDeviceGetAttribute
158.79ms     833ns  cuDeviceGetAttribute
158.79ms     886ns  cuDeviceGetAttribute
158.79ms     938ns  cuDeviceGetAttribute
158.80ms     885ns  cuDeviceGetAttribute
158.80ms     937ns  cuDeviceGetAttribute
158.80ms     834ns  cuDeviceGetAttribute
158.80ms     938ns  cuDeviceGetAttribute
158.80ms  1.3020us  cuDeviceGetAttribute
158.81ms  1.0410us  cuDeviceGetAttribute
158.81ms     989ns  cuDeviceGetAttribute
158.81ms     885ns  cuDeviceGetAttribute
158.81ms     938ns  cuDeviceGetAttribute
158.81ms     834ns  cuDeviceGetAttribute
158.81ms     990ns  cuDeviceGetAttribute
158.82ms     833ns  cuDeviceGetAttribute
158.82ms     833ns  cuDeviceGetAttribute
158.82ms     886ns  cuDeviceGetAttribute
158.82ms     833ns  cuDeviceGetAttribute
158.82ms     781ns  cuDeviceGetAttribute
158.82ms     782ns  cuDeviceGetAttribute
158.83ms     833ns  cuDeviceGetAttribute
158.83ms     834ns  cuDeviceGetAttribute
158.83ms     781ns  cuDeviceGetAttribute
158.83ms     833ns  cuDeviceGetAttribute
158.83ms     782ns  cuDeviceGetAttribute
158.83ms     833ns  cuDeviceGetAttribute
158.84ms     781ns  cuDeviceGetAttribute
158.84ms     834ns  cuDeviceGetAttribute
158.84ms     833ns  cuDeviceGetAttribute
158.84ms     833ns  cuDeviceGetAttribute
158.84ms     782ns  cuDeviceGetAttribute
158.84ms     833ns  cuDeviceGetAttribute
158.85ms     729ns  cuDeviceGetAttribute
158.85ms     833ns  cuDeviceGetAttribute
158.85ms     833ns  cuDeviceGetAttribute
158.85ms     782ns  cuDeviceGetAttribute
158.85ms     833ns  cuDeviceGetAttribute
158.85ms     729ns  cuDeviceGetAttribute
158.85ms     782ns  cuDeviceGetAttribute
158.86ms     833ns  cuDeviceGetAttribute
158.86ms     782ns  cuDeviceGetAttribute
158.86ms  25.365us  cuDeviceGetAttribute
158.89ms  1.0420us  cuDeviceGetAttribute
158.89ms     833ns  cuDeviceGetAttribute
158.89ms     833ns  cuDeviceGetAttribute
158.89ms     781ns  cuDeviceGetAttribute
158.89ms     833ns  cuDeviceGetAttribute
158.89ms     937ns  cuDeviceGetAttribute
158.90ms     886ns  cuDeviceGetAttribute
158.90ms     938ns  cuDeviceGetAttribute
158.90ms     834ns  cuDeviceGetAttribute
158.90ms     885ns  cuDeviceGetAttribute
158.90ms     886ns  cuDeviceGetAttribute
158.90ms     834ns  cuDeviceGetAttribute
158.91ms  1.0420us  cuDeviceGetAttribute
158.91ms     833ns  cuDeviceGetAttribute
158.91ms     833ns  cuDeviceGetAttribute
158.91ms     834ns  cuDeviceGetAttribute
158.91ms     938ns  cuDeviceGetAttribute
158.92ms     938ns  cuDeviceGetAttribute
158.92ms     833ns  cuDeviceGetAttribute
158.92ms     886ns  cuDeviceGetAttribute
158.92ms  15.365us  cuDeviceGetAttribute
158.94ms     938ns  cuDeviceGetAttribute
158.94ms     990ns  cuDeviceGetAttribute
158.94ms     886ns  cuDeviceGetAttribute
158.94ms     834ns  cuDeviceGetAttribute
158.94ms     937ns  cuDeviceGetAttribute
158.95ms     885ns  cuDeviceGetAttribute
158.95ms     885ns  cuDeviceGetAttribute
158.95ms  1.7190us  cuDeviceGetAttribute
158.95ms     886ns  cuDeviceGetAttribute
158.95ms     886ns  cuDeviceGetAttribute
158.95ms     885ns  cuDeviceGetAttribute
158.96ms  1.0930us  cuDeviceGetAttribute
158.96ms     833ns  cuDeviceGetAttribute
158.96ms  1.0940us  cuDeviceGetAttribute
158.96ms     989ns  cuDeviceGetAttribute
158.96ms     885ns  cuDeviceGetAttribute
158.97ms     886ns  cuDeviceGetAttribute
158.97ms  1.1980us  cuDeviceGetUuid
158.99ms  347.33ms  cudaMalloc
506.33ms  9.6230ms  cudaLaunchKernel (setup_kernel(curandStateXORWOW*, int) [107])
515.96ms  27.293us  cudaMalloc
515.99ms  14.272us  cudaMalloc
516.00ms  14.792us  cudaMalloc
516.02ms  58.127us  cudaLaunchKernel (abc_algo(abc_info_s) [111])
