==10054== NVPROF is profiling process 10054, command: ../bin/gpu
==10054== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==10054== Profiling application: ../bin/gpu
==10054== Profiling result:
==10054== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "NVIDIA Tegra X1 (0)"
    Kernel: abc_algo(void)
          1                 tex0_cache_sector_queries           0           0           0           0
          1                 tex1_cache_sector_queries        1756        1756        1756        1756
          1                  tex0_cache_sector_misses        1645        1645        1645        1645
          1                  tex1_cache_sector_misses           0           0           0           0
          1              l2_subp0_write_sector_misses          41          41          41          41
          1              l2_subp1_write_sector_misses          40          40          40          40
          1               l2_subp0_read_sector_misses         298         298         298         298
          1               l2_subp1_read_sector_misses         298         298         298         298
          1          l2_subp0_read_tex_sector_queries         352         352         352         352
          1          l2_subp1_read_tex_sector_queries         448         448         448         448
          1         l2_subp0_write_tex_sector_queries         290         290         290         290
          1         l2_subp1_write_tex_sector_queries         479         479         479         479
          1             l2_subp0_read_tex_hit_sectors         328         328         328         328
          1             l2_subp1_read_tex_hit_sectors         426         426         426         426
          1            l2_subp0_write_tex_hit_sectors         322         322         322         322
          1            l2_subp1_write_tex_hit_sectors         447         447         447         447
          1        l2_subp0_total_read_sector_queries         624         624         624         624
          1        l2_subp1_total_read_sector_queries         506         506         506         506
          1       l2_subp0_total_write_sector_queries         331         331         331         331
          1       l2_subp1_total_write_sector_queries         463         463         463         463
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           0           0           0           0
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm       36065       36065       36065       36065
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit         286         286         286         286
          1                            gld_inst_64bit         636         636         636         636
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit         177         177         177         177
          1                            gst_inst_64bit         636         636         636         636
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched           1           1           1           1
          1                              inst_issued0       31346       31346       31346       31346
          1                              inst_issued1        2735        2735        2735        2735
          1                              inst_issued2         338         338         338         338
          1                             inst_executed        3408        3408        3408        3408
          1                      thread_inst_executed       57730       57730       57730       57730
          1   not_predicated_off_thread_inst_executed       54046       54046       54046       54046
          1                               local_store          12          12          12          12
          1                                local_load          18          18          18          18
          1                               shared_load         167         167         167         167
          1                              shared_store          31          31          31          31
          1                           shared_atom_cas          10          10          10          10
          1                               shared_atom           1           1           1           1
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                               global_load          21          21          21          21
          1                              global_store          19          19          19          19
          1                          divergent_branch          18          18          18          18
          1                                    branch         392         392         392         392
          1                             active_cycles       34430       34430       34430       34430
          1                              active_warps       34432       34432       34432       34432
          1                               active_ctas       34507       34507       34507       34507
          1                           sm_cta_launched           1           1           1           1
          1                   shared_ld_bank_conflict          40          40          40          40
          1                   shared_st_bank_conflict          40          40          40          40
          1                    shared_ld_transactions         225         225         225         225
          1                    shared_st_transactions          88          88          88          88
    Kernel: setup_kernel(curandStateXORWOW*, int)
          1                 tex0_cache_sector_queries       14438       14438       14438       14438
          1                 tex1_cache_sector_queries           0           0           0           0
          1                  tex0_cache_sector_misses        4773        4773        4773        4773
          1                  tex1_cache_sector_misses           0           0           0           0
          1              l2_subp0_write_sector_misses          57          57          57          57
          1              l2_subp1_write_sector_misses          64          64          64          64
          1               l2_subp0_read_sector_misses         814         814         814         814
          1               l2_subp1_read_sector_misses         814         814         814         814
          1          l2_subp0_read_tex_sector_queries        2165        2165        2165        2165
          1          l2_subp1_read_tex_sector_queries        2100        2100        2100        2100
          1         l2_subp0_write_tex_sector_queries         175         175         175         175
          1         l2_subp1_write_tex_sector_queries         233         233         233         233
          1             l2_subp0_read_tex_hit_sectors        2165        2165        2165        2165
          1             l2_subp1_read_tex_hit_sectors        2100        2100        2100        2100
          1            l2_subp0_write_tex_hit_sectors         175         175         175         175
          1            l2_subp1_write_tex_hit_sectors         233         233         233         233
          1        l2_subp0_total_read_sector_queries        2982        2982        2982        2982
          1        l2_subp1_total_read_sector_queries        2177        2177        2177        2177
          1       l2_subp0_total_write_sector_queries         180         180         180         180
          1       l2_subp1_total_write_sector_queries         249         249         249         249
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           0           0           0           0
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm      123933      123933      123933      123933
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit       44380       44380       44380       44380
          1                            gld_inst_64bit           0           0           0           0
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit          64          64          64          64
          1                            gst_inst_64bit         224         224         224         224
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched           1           1           1           1
          1                              inst_issued0      112772      112772      112772      112772
          1                              inst_issued1        4980        4980        4980        4980
          1                              inst_issued2        4553        4553        4553        4553
          1                             inst_executed       14071       14071       14071       14071
          1                      thread_inst_executed      227410      227410      227410      227410
          1   not_predicated_off_thread_inst_executed      137110      137110      137110      137110
          1                               local_store          18          18          18          18
          1                                local_load           3           3           3           3
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                           shared_atom_cas           0           0           0           0
          1                               shared_atom           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                               global_load        5600        5600        5600        5600
          1                              global_store           9           9           9           9
          1                          divergent_branch           6           6           6           6
          1                                    branch          30          30          30          30
          1                             active_cycles      122246      122246      122246      122246
          1                              active_warps      122244      122244      122244      122244
          1                               active_ctas      124962      124962      124962      124962
          1                           sm_cta_launched           1           1           1           1
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                    shared_ld_transactions           0           0           0           0
          1                    shared_st_transactions           0           0           0           0
