==10113== NVPROF is profiling process 10113, command: ../bin/gpu
==10113== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==10113== Profiling application: ../bin/gpu
==10113== Profiling result:
==10113== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "NVIDIA Tegra X1 (0)"
    Kernel: abc_algo(abc_info_s)
          1                 tex0_cache_sector_queries      390697      390697      390697      390697
          1                 tex1_cache_sector_queries      390288      390288      390288      390288
          1                  tex0_cache_sector_misses      366984      366984      366984      366984
          1                  tex1_cache_sector_misses      366686      366686      366686      366686
          1              l2_subp0_write_sector_misses         305         305         305         305
          1              l2_subp1_write_sector_misses         229         229         229         229
          1               l2_subp0_read_sector_misses       39777       39777       39777       39777
          1               l2_subp1_read_sector_misses       39777       39777       39777       39777
          1          l2_subp0_read_tex_sector_queries      193770      193770      193770      193770
          1          l2_subp1_read_tex_sector_queries      166160      166160      166160      166160
          1         l2_subp0_write_tex_sector_queries      181581      181581      181581      181581
          1         l2_subp1_write_tex_sector_queries      160659      160659      160659      160659
          1             l2_subp0_read_tex_hit_sectors      193596      193596      193596      193596
          1             l2_subp1_read_tex_hit_sectors      165953      165953      165953      165953
          1            l2_subp0_write_tex_hit_sectors      181591      181591      181591      181591
          1            l2_subp1_write_tex_hit_sectors      160659      160659      160659      160659
          1        l2_subp0_total_read_sector_queries      223952      223952      223952      223952
          1        l2_subp1_total_read_sector_queries      166542      166542      166542      166542
          1       l2_subp0_total_write_sector_queries      181667      181667      181667      181667
          1       l2_subp1_total_write_sector_queries      160637      160637      160637      160637
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           0           0           0           0
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm     9848264     9848264     9848264     9848264
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit      189539      189539      189539      189539
          1                            gld_inst_64bit      290016      290016      290016      290016
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
