==10125== NVPROF is profiling process 10125, command: ../bin/gpu
==10125== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==10125== Profiling application: ../bin/gpu
==10125== Profiling result:
==10125== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: abc_algo(abc_info_s)
          1                             sm_efficiency                                               Multiprocessor Activity      99.98%      99.98%      99.98%
          1                        achieved_occupancy                                                    Achieved Occupancy    0.124996    0.124996    0.124996
          1                                       ipc                                                          Executed IPC    0.552527    0.552527    0.552527
          1                                issued_ipc                                                            Issued IPC    0.552411    0.552411    0.552411
          1                             inst_per_warp                                                 Instructions per warp  6.7899e+05  6.7899e+05  6.7899e+05
          1                         branch_efficiency                                                     Branch Efficiency      99.59%      99.59%      99.59%
          1                 warp_execution_efficiency                                             Warp Execution Efficiency      81.37%      81.37%      81.37%
          1         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      65.34%      65.34%      65.34%
          1                      inst_replay_overhead                                           Instruction Replay Overhead    0.000062    0.000062    0.000062
          1                    issue_slot_utilization                                                Issue Slot Utilization      12.18%      12.18%      12.18%
          1      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    1.010166    1.010166    1.010166
          1     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    1.200686    1.200686    1.200686
          1       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    6.317700    6.317700    6.317700
          1      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    3.794107    3.794107    3.794107
          1              gst_transactions_per_request                                 Global Store Transactions Per Request   14.331876   14.331876   14.331876
          1                 shared_store_transactions                                             Shared Store Transactions       20653       20653       20653
          1                  shared_load_transactions                                              Shared Load Transactions      581491      581491      581491
          1                   local_load_transactions                                               Local Load Transactions       70992       70992       70992
          1                  local_store_transactions                                              Local Store Transactions       30966       30966       30966
          1                          gst_transactions                                             Global Store Transactions      311360      311360      311360
          1                           global_hit_rate                                     Global Hit Rate in unified l1/tex       4.30%       4.30%       4.30%
          1                            local_hit_rate                                                        Local Hit Rate      46.23%      46.23%      46.23%
