==9017== NVPROF is profiling process 9017, command: ../bin/gpu
==9017== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==9017== Profiling application: ../bin/gpu
==9017== Profiling result:
==9017== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: abc_algo(void)
          1                             sm_efficiency                                               Multiprocessor Activity      99.98%      99.98%      99.98%
          1                        achieved_occupancy                                                    Achieved Occupancy    0.124997    0.124997    0.124997
          1                                       ipc                                                          Executed IPC    0.546861    0.546861    0.546861
          1                                issued_ipc                                                            Issued IPC    0.476165    0.476165    0.476165
          1                             inst_per_warp                                                 Instructions per warp  6.8084e+05  6.8084e+05  6.8084e+05
          1                         branch_efficiency                                                     Branch Efficiency      99.62%      99.62%      99.62%
          1                 warp_execution_efficiency                                             Warp Execution Efficiency      81.54%      81.54%      81.54%
          1         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      78.05%      78.05%      78.05%
          1                      inst_replay_overhead                                           Instruction Replay Overhead    0.000067    0.000067    0.000067
          1                    issue_slot_utilization                                                Issue Slot Utilization      10.62%      10.62%      10.62%
          1      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.590448    0.590448    0.590448
          1     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.899070    0.899070    0.899070
          1       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    6.317878    6.317878    6.317878
          1      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    3.795432    3.795432    3.795432
          1              gst_transactions_per_request                                 Global Store Transactions Per Request   14.335973   14.335973   14.335973
          1                 shared_store_transactions                                             Shared Store Transactions       15464       15464       15464
          1                  shared_load_transactions                                              Shared Load Transactions      339887      339887      339887
          1                   local_load_transactions                                               Local Load Transactions       70901       70901       70901
          1                  local_store_transactions                                              Local Store Transactions       30903       30903       30903
          1                          gst_transactions                                             Global Store Transactions      311320      311320      311320
          1                           global_hit_rate                                     Global Hit Rate in unified l1/tex       4.29%       4.29%       4.29%
          1                            local_hit_rate                                                        Local Hit Rate      46.09%      46.09%      46.09%
          1                  gld_requested_throughput                                      Requested Global Load Throughput  248.94MB/s  248.94MB/s  248.94MB/s
          1                  gst_requested_throughput                                     Requested Global Store Throughput  214.48MB/s  214.48MB/s  214.48MB/s
          1                            gld_throughput                                                Global Load Throughput  900.55MB/s  900.55MB/s  900.55MB/s
          1                            gst_throughput                                               Global Store Throughput  871.42MB/s  871.42MB/s  871.42MB/s
          1                      tex_cache_throughput                                              Unified Cache Throughput  463.67MB/s  463.67MB/s  463.67MB/s
          1                     local_load_throughput                                          Local Memory Load Throughput  198.46MB/s  198.46MB/s  198.46MB/s
          1                    local_store_throughput                                         Local Memory Store Throughput  86.501MB/s  86.501MB/s  86.501MB/s
          1                    shared_load_throughput                                         Shared Memory Load Throughput  3.7164GB/s  3.7164GB/s  3.7164GB/s
          1                   shared_store_throughput                                        Shared Memory Store Throughput  173.14MB/s  173.14MB/s  173.14MB/s
          1                            gld_efficiency                                         Global Memory Load Efficiency      27.64%      27.64%      27.64%
          1                            gst_efficiency                                        Global Memory Store Efficiency      24.61%      24.61%      24.61%
          1                    tex_cache_transactions                                            Unified Cache Transactions      165647      165647      165647
          1                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                        tex_fu_utilization                                     Texture Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           double_precision_fu_utilization                            Double-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                    special_fu_utilization                                     Special Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           single_precision_fu_utilization                            Single-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                             flop_count_dp                           Floating Point Operations(Double Precision)       99453       99453       99453
          1                         flop_count_dp_add                       Floating Point Operations(Double Precision Add)       66302       66302       66302
          1                         flop_count_dp_fma                       Floating Point Operations(Double Precision FMA)           0           0           0
          1                         flop_count_dp_mul                       Floating Point Operations(Double Precision Mul)       33151       33151       33151
          1                             flop_count_sp                           Floating Point Operations(Single Precision)    13839568    13839568    13839568
          1                         flop_count_sp_add                       Floating Point Operations(Single Precision Add)    10325199    10325199    10325199
          1                         flop_count_sp_fma                       Floating Point Operations(Single Precision FMA)     1185364     1185364     1185364
          1                         flop_count_sp_mul                        Floating Point Operation(Single Precision Mul)     1143641     1143641     1143641
          1                     flop_count_sp_special                   Floating Point Operations(Single Precision Special)      593908      593908      593908
          1                             inst_executed                                                 Instructions Executed     5447040     5447040     5447040
          1                               inst_issued                                                   Instructions Issued     3803525     3803525     3803525
          1                           tex_utilization                                             Unified Cache Utilization     Low (1)     Low (1)     Low (1)
          1                         shared_efficiency                                              Shared Memory Efficiency       6.85%       6.85%       6.85%
          1                        shared_utilization                                             Shared Memory Utilization     Low (1)     Low (1)     Low (1)
          1                                inst_fp_32                                               FP Instructions(Single)    20278775    20278775    20278775
          1                                inst_fp_64                                               FP Instructions(Double)       99453       99453       99453
          1                              inst_integer                                                  Integer Instructions    61774522    61774522    61774522
          1                          inst_bit_convert                                              Bit-Convert Instructions     1771930     1771930     1771930
          1                              inst_control                                             Control-Flow Instructions    32769356    32769356    32769356
          1                        inst_compute_ld_st                                               Load/Store Instructions    16856771    16856771    16856771
          1                                 inst_misc                                                     Misc Instructions     2480883     2480883     2480883
          1           inst_inter_thread_communication                                             Inter-Thread Instructions         127         127         127
          1                               issue_slots                                                           Issue Slots     3394418     3394418     3394418
          1                                 cf_issued                                      Issued Control-Flow Instructions     1218462     1218462     1218462
          1                               cf_executed                                    Executed Control-Flow Instructions     1218462     1218462     1218462
          1                               ldst_issued                                        Issued Load/Store Instructions      850528      850528      850528
          1                             ldst_executed                                      Executed Load/Store Instructions      663482      663482      663482
          1                       atomic_transactions                                                   Atomic Transactions           0           0           0
          1           atomic_transactions_per_request                                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
          1                inst_executed_global_loads                              Warp level instructions for global loads       22864       22864       22864
          1                 inst_executed_local_loads                               Warp level instructions for local loads       11237       11237       11237
          1                inst_executed_shared_loads                              Warp level instructions for shared loads      575643      575643      575643
          1               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
          1               inst_executed_global_stores                             Warp level instructions for global stores       21716       21716       21716
          1                inst_executed_local_stores                              Warp level instructions for local stores        8144        8144        8144
          1               inst_executed_shared_stores                             Warp level instructions for shared stores       17200       17200       17200
          1              inst_executed_surface_stores                            Warp level instructions for surface stores           0           0           0
          1              inst_executed_global_atomics                  Warp level instructions for global atom and atom cas           0           0           0
          1           inst_executed_global_reductions                         Warp level instructions for global reductions           0           0           0
          1             inst_executed_surface_atomics                 Warp level instructions for surface atom and atom cas           0           0           0
          1          inst_executed_surface_reductions                        Warp level instructions for surface reductions           0           0           0
          1              inst_executed_shared_atomics                  Warp level shared instructions for atom and atom CAS         534         534         534
          1                     inst_executed_tex_ops                                   Warp level instructions for texture           0           0           0
          1                      l2_global_load_bytes       Bytes read from L2 for misses in Unified Cache for global loads    10295136    10295136    10295136
          1                       l2_local_load_bytes        Bytes read from L2 for misses in Unified Cache for local loads     1221152     1221152     1221152
          1                     l2_surface_load_bytes      Bytes read from L2 for misses in Unified Cache for surface loads           0           0           0
          1               l2_local_global_store_bytes   Bytes written to L2 from Unified Cache for local and global stores.    10951136    10951136    10951136
          1                 l2_global_reduction_bytes          Bytes written to L2 from Unified cache for global reductions           0           0           0
          1              l2_global_atomic_store_bytes             Bytes written to L2 from Unified cache for global atomics           0           0           0
          1                    l2_surface_store_bytes            Bytes written to L2 from Unified Cache for surface stores.           0           0           0
          1                l2_surface_reduction_bytes         Bytes written to L2 from Unified Cache for surface reductions           0           0           0
          1             l2_surface_atomic_store_bytes    Bytes transferred between Unified Cache and L2 for surface atomics           0           0           0
          1                      global_load_requests              Total number of global load requests from Multiprocessor       78177       78177       78177
          1                       local_load_requests               Total number of local load requests from Multiprocessor       38081       38081       38081
          1                     surface_load_requests             Total number of surface load requests from Multiprocessor           0           0           0
          1                     global_store_requests             Total number of global store requests from Multiprocessor      105837      105837      105837
          1                      local_store_requests              Total number of local store requests from Multiprocessor       30913       30913       30913
          1                    surface_store_requests            Total number of surface store requests from Multiprocessor           0           0           0
          1                    global_atomic_requests            Total number of global atomic requests from Multiprocessor           0           0           0
          1                 global_reduction_requests         Total number of global reduction requests from Multiprocessor           0           0           0
          1                   surface_atomic_requests           Total number of surface atomic requests from Multiprocessor           0           0           0
          1                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
          1                     texture_load_requests             Total number of texture Load requests from Multiprocessor           0           0           0
          1                          stall_inst_fetch                              Issue Stall Reasons (Instructions Fetch)      19.85%      19.85%      19.85%
          1                     stall_exec_dependency                            Issue Stall Reasons (Execution Dependency)      48.02%      48.02%      48.02%
          1                   stall_memory_dependency                                    Issue Stall Reasons (Data Request)       6.15%       6.15%       6.15%
          1                             stall_texture                                         Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
          1                                stall_sync                                 Issue Stall Reasons (Synchronization)      22.94%      22.94%      22.94%
          1                               stall_other                                           Issue Stall Reasons (Other)       2.76%       2.76%       2.76%
          1          stall_constant_memory_dependency                              Issue Stall Reasons (Immediate constant)       0.02%       0.02%       0.02%
          1                           stall_pipe_busy                                       Issue Stall Reasons (Pipe Busy)       0.10%       0.10%       0.10%
          1                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.00%       0.00%       0.00%
          1                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       0.16%       0.16%       0.16%
          1                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                      System Memory Write Transactions           0           0           0
          1                      l2_read_transactions                                                  L2 Read Transactions      387704      387704      387704
          1                     l2_write_transactions                                                 L2 Write Transactions      342246      342246      342246
          1                     local_memory_overhead                                                 Local Memory Overhead       9.84%       9.84%       9.84%
          1                        tex_cache_hit_rate                                                Unified Cache Hit Rate      10.09%      10.09%      10.09%
          1                    l2_tex_read_throughput                                         L2 Throughput (Texture Reads)  0.9838GB/s  0.9838GB/s  0.9838GB/s
          1                   l2_tex_write_throughput                                        L2 Throughput (Texture Writes)  957.99MB/s  957.99MB/s  957.99MB/s
          1                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)      359886      359886      359886
          1                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)      342247      342247      342247
          1                        l2_read_throughput                                                 L2 Throughput (Reads)  1.0598GB/s  1.0598GB/s  1.0598GB/s
          1                       l2_write_throughput                                                L2 Throughput (Writes)  957.99MB/s  957.99MB/s  957.99MB/s
          1                    sysmem_read_throughput                                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   sysmem_write_throughput                                        System Memory Write Throughput  0.00000B/s  0.00000B/s  0.00000B/s
