==3470== NVPROF is profiling process 3470, command: ./../bin/gpu
==3470== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3470== Profiling application: ./../bin/gpu
==3470== Profiling result:
==3470== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: abc_algo(abc_info_s)
          1                             sm_efficiency                                               Multiprocessor Activity     100.00%     100.00%     100.00%
          1                        achieved_occupancy                                                    Achieved Occupancy    0.015625    0.015625    0.015625
          1                                       ipc                                                          Executed IPC    0.131411    0.131411    0.131411
          1                                issued_ipc                                                            Issued IPC    0.131057    0.131057    0.131057
          1                             inst_per_warp                                                 Instructions per warp  3.7411e+07  3.7411e+07  3.7411e+07
          1                         branch_efficiency                                                     Branch Efficiency      99.98%      99.98%      99.98%
          1                 warp_execution_efficiency                                             Warp Execution Efficiency       5.58%       5.58%       5.58%
          1         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency       6.19%       6.19%       6.19%
          1                      inst_replay_overhead                                           Instruction Replay Overhead    0.000053    0.000053    0.000053
          1                    issue_slot_utilization                                                Issue Slot Utilization       2.76%       2.76%       2.76%
          1      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    1.179873    1.179873    1.179873
          1     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    1.173697    1.173697    1.173697
          1       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    1.180131    1.180131    1.180131
          1      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    1.277934    1.277934    1.277934
          1              gst_transactions_per_request                                 Global Store Transactions Per Request    1.419828    1.419828    1.419828
          1                 shared_store_transactions                                             Shared Store Transactions         473         473         473
          1                  shared_load_transactions                                              Shared Load Transactions       11302       11302       11302
          1                   local_load_transactions                                               Local Load Transactions     2898392     2898392     2898392
          1                  local_store_transactions                                              Local Store Transactions      386993      386993      386993
          1                          gst_transactions                                             Global Store Transactions     1731473     1731473     1731473
          1                           global_hit_rate                                     Global Hit Rate in unified l1/tex      16.74%      16.74%      16.74%
          1                            local_hit_rate                                                        Local Hit Rate      87.17%      87.17%      87.17%
